*Code,*Name,*Type,*Tax Code,Description,Dashboard,Expense Claims,Enable Payments,Balance
1000,Cash,Bank,BAS Excluded,,No,No,No,
200,Sales,Revenue,GST on Income,Income from any normal business activity,No,No,Yes,
2000,Card,Bank,BAS Excluded,,No,No,No,
260,Other Revenue,Revenue,GST on Income,Any other income that does not relate to normal business activities and is not recurring,No,No,No,
270,Interest Income,Revenue,GST Free Income,Interest income,No,No,No,
310,Cost of Goods Sold,Direct Costs,GST on Expenses,Cost of goods sold by the business,No,No,No,
400,Advertising,Expense,GST on Expenses,Expenses incurred for advertising while trying to increase sales,No,Yes,No,
404,Bank Fees,Expense,GST Free Expenses,Fees charged by your bank for transactions regarding your bank account(s).,No,Yes,No,
408,Cleaning,Expense,GST on Expenses,Expenses incurred for cleaning business property.,No,Yes,No,
412,Consulting & Accounting,Expense,GST on Expenses,Expenses related to paying consultants,No,Yes,No,
416,Depreciation,Expense,BAS Excluded,The amount of the asset's cost (based on the useful life) that was consumed during the period,No,No,No,
420,Entertainment,Expense,GST Free Expenses,Expenses paid by company for the business but are not deductable for income tax purposes.,No,Yes,No,
425,Freight & Courier,Expense,GST on Expenses,Expenses incurred on courier & freight costs,No,Yes,No,
429,General Expenses,Expense,GST on Expenses,General expenses related to the running of the business.,No,Yes,No,
433,Insurance,Expense,GST on Expenses,Expenses incurred for insuring the business' assets,No,Yes,No,
437,Interest Expense,Expense,GST Free Expenses,"Any interest expenses paid to ATO, business bank accounts or credit card accounts.",No,Yes,No,
441,Legal expenses,Expense,GST on Expenses,Expenses incurred on any legal matters,No,Yes,No,
445,"Light, Power, Heating",Expense,GST on Expenses,"Expenses incurred for lighting, powering or heating the premises",No,Yes,No,
449,Motor Vehicle Expenses,Expense,GST on Expenses,Expenses incurred on the running of company motor vehicles,No,Yes,No,
453,Office Expenses,Expense,GST on Expenses,General expenses related to the running of the business office.,No,Yes,No,
461,Printing & Stationery,Expense,GST on Expenses,Expenses incurred by the entity as a result of printing and stationery,No,Yes,No,
469,Rent,Expense,GST on Expenses,The payment to lease a building or area.,No,Yes,No,
473,Repairs and Maintenance,Expense,GST on Expenses,Expenses incurred on a damaged or run down asset that will bring the asset back to its original condition.,No,Yes,No,
477,Wages and Salaries,Expense,BAS Excluded,Payment to employees in exchange for their resources,No,No,No,
478,Superannuation,Expense,BAS Excluded,Superannuation contributions,No,No,No,
485,Subscriptions,Expense,GST on Expenses,"E.g. Magazines, professional bodies.",No,Yes,No,
489,Telephone & Internet,Expense,GST on Expenses,"Expenditure incurred from any business-related phone calls, phone lines, or internet connections",No,Yes,No,
493,Travel - National,Expense,GST on Expenses,Expenses incurred from domestic travel which has a business purpose,No,Yes,No,
494,Travel - International,Expense,GST Free Expenses,Expenses incurred from international travel which has a business purpose,No,Yes,No,
497,Bank Revaluations,Bank Revaluations,BAS Excluded,Bank account revaluations due for foreign exchange rate changes,No,No,No,
